ID;DISTANCE;STOP_COUNT;COST;FITNESS;INTERNET;PETS_ALLOWED;ADDITIONAL_INFO
1;4;1;48000;23;3;Да;Подземный паркинг
2;14;2;25000;24;1;Нет;Панорама с видом на парк Сосновка. 
3;24;1;45000;8;2;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
4;22;1;25000;16;1;Да;
5;7;11;54000;29;4;Да;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
6;5;8;28000;29;0;Да;
7;4;5;26000;26;1;Да;
8;26;11;25000;22;2;Да;Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
9;28;8;27000;23;4;Да;
10;19;12;23000;12;4;Да;Рядом с домом расположены Суздальские озера и Шуваловский парк, площадка для выгула четвнроногих питомцев.
11;13;2;21000;11;3;Да;
12;4;3;40000;11;4;Да;
13;16;5;26000;8;2;Да;
14;23;6;25000;20;2;Да;
15;6;6;46000;18;3;Да;Исторический центр Санкт-Петербурга.
16;4;4;33000;5;4;Да;
17;10;5;31000;28;1;Нет;Исторический центр Санкт-Петербурга.
18;21;12;55000;21;0;Да;
19;16;11;48000;18;2;Да;
20;16;11;54000;23;3;Да;
21;18;9;30000;27;1;Да;Находится в историческом районе сталинской застройки «Ланской» в окружении многочисленных парков. 
22;4;3;35000;25;0;Да;
23;11;1;25000;20;1;Да;
24;21;7;56000;5;2;Нет;Тематические зоны во дворе: всепогодные игровые площадки и беседки, места для уединенного отдыха, спорта, прогулок
25;14;4;22000;27;2;Да;
26;6;10;47000;8;1;Нет;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
27;22;6;49000;15;4;Да;Находится в историческом районе сталинской застройки «Ланской» в окружении многочисленных парков. 
28;17;5;33000;29;2;Да;
29;17;10;44000;7;1;Да;
30;15;7;22000;26;0;Нет;
31;23;8;43000;28;4;Нет;
32;18;11;40000;13;4;Да;
33;7;3;32000;6;0;Да;
34;13;9;35000;18;4;Да;
35;22;11;37000;16;3;Да;Исторический центр Санкт-Петербурга.
36;7;5;41000;15;4;Да;
37;26;9;34000;29;0;Нет;
38;8;1;29000;25;1;Да;
39;6;6;55000;17;2;Нет;
40;26;8;22000;7;0;Нет;
41;7;8;23000;26;1;Нет;
42;28;10;54000;5;0;Да;
43;21;6;24000;7;4;Да;Развитая инфраструктура района
44;6;8;50000;14;1;Да;
45;24;7;31000;15;0;Нет;
46;16;8;57000;9;4;Нет;Исторический центр Санкт-Петербурга.
47;12;5;34000;29;4;Да;
48;10;10;38000;28;1;Да;
49;15;5;44000;4;4;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
50;4;6;51000;8;3;Да;Панорама с видом на парк Сосновка. 
51;13;1;34000;4;2;Да;Панорама с видом на парк Сосновка. 
52;23;10;29000;9;2;Да;
53;14;5;26000;29;1;Да;
54;24;11;56000;5;4;Да; В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк, есть место для выгула четвероногих друзей.
55;10;8;57000;15;1;Да;
56;23;6;51000;14;1;Да;
57;17;7;23000;20;4;Да;
58;9;10;53000;17;4;Да;
59;21;6;24000;5;2;Нет;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
60;9;2;59000;28;0;Да;
61;24;5;48000;10;2;Да;Огромная продуманная территория с тематическими зонами, а также 2 муниципальных детских сада и школа, ветклиника для четвероногих питомцев.
62;3;12;42000;15;4;Да;
63;14;1;22000;5;3;Да;Исторический центр Санкт-Петербурга.
64;14;11;38000;9;3;Да;
65;24;12;31000;13;3;Да;
66;3;3;48000;25;3;Да;
67;8;6;37000;22;2;Нет;
68;29;1;39000;24;2;Да;Огороженная площадка для дрессировки собак на территории парка отдыха.
69;22;5;41000;7;0;Да;
70;6;10;58000;6;4;Да;
71;18;2;51000;16;3;Да;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
72;9;4;21000;26;1;Да;
73;8;5;59000;27;2;Да;
74;5;1;33000;21;3;Нет;Для юных жителей будет обустроена велодорожка, для любителей домашних животных – зона для игр и дрессировки питомцев.
75;24;6;25000;6;3;Да;
76;9;10;59000;28;1;Да;Исторический центр Санкт-Петербурга.
77;10;7;41000;17;0;Да;
78;4;2;51000;16;1;Да;
79;18;12;23000;25;4;Да;Развитая инфраструктура района
80;4;11;56000;10;0;Да;
81;14;1;35000;3;1;Да;
82;26;3;59000;4;1;Нет;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
83;7;5;44000;6;4;Да;Подземный паркинг
84;13;6;45000;20;3;Да;
85;28;6;43000;22;1;Да;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
86;15;3;38000;19;1;Да;
87;22;11;34000;5;0;Да;
88;3;11;51000;10;0;Да;
89;22;11;47000;28;2;Да;
90;15;9;39000;9;0;Да;
91;27;4;53000;20;2;Да;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
92;18;7;27000;19;3;Да;
93;18;7;48000;8;0;Да;
94;13;10;23000;23;0;Да;
95;16;7;29000;25;0;Да;
96;4;1;33000;10;0;Нет;
97;25;3;45000;6;1;Да;
98;17;9;29000;16;1;Нет;
99;6;10;33000;22;2;Да;
100;9;9;52000;20;0;Да;
101;18;7;55000;25;1;Да;
102;27;11;25000;3;0;Да;
103;5;10;58000;3;2;Да;В пешей доступности Муринский парк, Сад «Прометей», сквер Конашевича и другие зоны отдыха
104;18;12;29000;17;1;Нет;
105;24;11;42000;5;1;Да;
106;28;8;50000;22;3;Нет;
107;7;9;44000;11;0;Да;
108;3;12;35000;23;2;Да; Закрытый двор без машин с собственным освещением, посты охраны, детская и спортивная площадки, зона для барбекю, оборудованные площадки для отдыха.
109;6;2;38000;23;3;Да;
110;5;5;26000;7;0;Да;
111;21;11;46000;29;0;Да;
112;8;5;58000;20;0;Да;
113;24;7;41000;22;4;Да;
114;27;10;52000;17;2;Да;Детские игровые площадки, зона отдыха с качелями, площадка для выгула собак, футбольное поле и волейбольно-баскетбольная площадка.
115;3;8;20000;19;0;Нет;
116;18;2;36000;17;0;Да;
117;7;10;28000;17;4;Да;Огороженная площадка для дрессировки собак на территории парка отдыха
118;11;9;27000;11;1;Да;Развитая инфраструктура района
119;15;7;26000;4;0;Да;
120;26;1;42000;14;4;Да;
121;15;4;28000;18;3;Да; Закрытый двор без машин с собственным освещением, посты охраны, детская и спортивная площадки, зона для барбекю, оборудованные площадки для отдыха.
122;21;1;25000;12;2;Да;
123;20;10;26000;27;1;Нет;
124;28;9;34000;26;3;Нет;
125;16;2;35000;9;4;Да;
126;15;2;54000;27;2;Нет;
127;23;10;47000;17;0;Да;
128;16;2;42000;20;3;Да;
129;27;9;53000;3;1;Да;
130;22;8;43000;29;4;Да;
131;26;3;41000;29;3;Да;
132;12;11;27000;14;1;Да;
133;22;3;51000;18;2;Да;
134;29;2;22000;24;4;Да;
135;8;9;37000;24;1;Нет;
136;23;11;37000;8;2;Да;
137;14;10;54000;13;1;Да;Исторический центр Санкт-Петербурга.
138;13;1;32000;9;0;Да;
139;23;2;52000;23;1;Да;
140;17;1;56000;17;4;Нет;Подземный паркинг
141;4;3;23000;4;1;Да;Тематические зоны во дворе: всепогодные игровые площадки и беседки, места для уединенного отдыха, спорта, прогулок
142;25;12;24000;24;3;Нет;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
143;5;7;32000;15;2;Нет;Исторический центр Санкт-Петербурга.
144;23;11;48000;14;3;Да;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
145;4;12;35000;27;3;Да;
146;28;8;37000;4;3;Да;Подземный паркинг
147;21;10;45000;27;2;Да;
148;28;10;54000;26;1;Да;
149;20;12;21000;7;1;Да;
150;9;5;26000;29;2;Да;
151;28;11;34000;8;3;Да;
152;16;3;50000;7;3;Да;Детские игровые площадки, зона отдыха с качелями, площадка для выгула собак, футбольное поле и волейбольно-баскетбольная площадка.
153;20;3;28000;6;0;Да;
154;22;2;33000;3;0;Да;
155;5;7;43000;8;1;Нет;Dog-friendly инфраструктура (магазин, кафе, грумминг-салон)
156;9;9;57000;6;4;Да;
157;15;6;37000;16;4;Да;Развитая инфраструктура района
158;21;5;38000;10;1;Нет;
159;22;6;34000;9;1;Да;Огромная продуманная территория с тематическими зонами, а также 2 муниципальных детских сада и школа, ветклиника для четвероногих питомцев.
160;8;10;59000;14;2;Да;
161;7;12;41000;23;2;Да;
162;25;6;26000;13;0;Да;
163;21;1;39000;24;4;Да;
164;8;10;49000;9;0;Да;
165;18;12;54000;18;0;Нет;
