Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,10:14:00,10:28:10,10:43:00,10:55:30
22-23-Я ЛИНИИ,10:15:00,10:29:10,10:43:50,10:56:20
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:17:40,10:31:00,10:46:10,00:00:00
12-13-Я ЛИНИИ,10:19:30,10:32:50,10:48:10,00:00:00
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:21:50,10:34:50,10:51:00,00:00:00
1-Я И КАДЕТСКАЯ ЛИНИИ,10:23:30,10:36:10,10:52:10,00:00:00
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:25:10,10:37:40,10:53:20,00:00:00
"МЕТРО ""СПОРТИВНАЯ""",10:26:30,10:39:00,10:54:20,11:07:10
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:28:00,10:40:10,10:55:20,11:08:10
ЗВЕРИНСКАЯ УЛ.,10:29:30,10:41:40,10:56:30,11:09:40
ВВЕДЕНСКАЯ УЛ.,10:30:30,10:42:50,10:57:40,11:10:40
СЫТНЫЙ РЫНОК,10:32:10,10:43:50,10:59:20,11:11:50
"МЕТРО ""ГОРЬКОВСКАЯ""",10:33:40,10:45:30,11:00:50,11:13:20
ТРОИЦКАЯ ПЛ. П.С.,10:35:20,10:47:00,11:02:20,11:15:00
УЛИЦА ЧАПАЕВА,10:36:20,10:48:20,11:03:50,11:16:20
